------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void radiance_mxfp4_fp8_gemm_decode<8, 128, 1, 1, false, true, false>(unsigned char con...         0.00%       0.000us         0.00%       0.000us       0.000us     388.723ms        49.91%     388.723ms     306.081us          1270  
void radiance_mxfp4_fp8_gemm_decode<8, 128, 4, 1, false, true, false>(unsigned char con...         0.00%       0.000us         0.00%       0.000us       0.000us     155.694ms        19.99%     155.694ms     122.787us          1268  
                                                                             _w4_matvec.kd         0.00%       0.000us         0.00%       0.000us       0.000us     155.686ms        19.99%     155.686ms      61.318us          2539  
                                                                       _draft_head_int2.kd         0.00%       0.000us         0.00%       0.000us       0.000us      24.660ms         3.17%      24.660ms     616.492us            40  
                                                                     _decode_attn_split.kd         0.00%       0.000us         0.00%       0.000us       0.000us      15.811ms         2.03%      15.811ms      12.450us          1270  
void vllm::dynamic_per_token_scaled_fp8_quant_kernel_strided<c10::BFloat16, c10::Float8...         0.00%       0.000us         0.00%       0.000us       0.000us       9.180ms         1.18%       9.180ms       3.618us          2537  
                                                                    _decode_attn_reduce.kd         0.00%       0.000us         0.00%       0.000us       0.000us       6.827ms         0.88%       6.827ms       5.380us          1269  
                                                                     triton_per_fused_3.kd         0.00%       0.000us         0.00%       0.000us       0.000us       3.968ms         0.51%       3.968ms       3.226us          1230  
                                                         reshape_and_cache_kernel_flash.kd         0.00%       0.000us         0.00%       0.000us       0.000us       3.274ms         0.42%       3.274ms       2.580us          1269  
                                                                                aten::topk         0.04%     343.335us         0.06%     545.842us      13.313us       2.894ms         0.37%       2.894ms      70.581us            41  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_2.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.887ms         0.37%       2.887ms       2.349us          1229  
void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Te...         0.00%       0.000us         0.00%       0.000us       0.000us       2.671ms         0.34%       2.671ms      68.475us            39  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_0.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.621ms         0.34%       2.621ms       2.065us          1269  
                                                                    hipPointerGetAttribute         0.06%     504.315us         0.06%     504.315us       0.177us       2.224ms         0.29%       2.224ms       0.782us          2844  
                                         triton_poi_fused_mul_mxfp4_linear_silu_slice_1.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.791ms         0.23%       1.791ms       1.411us          1270  
                                                                               aten::copy_         0.13%       1.093ms         0.23%       1.980ms       4.794us     941.782us         0.12%     941.782us       2.280us           413  
                                                                      _penalties_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     485.771us         0.06%     485.771us      12.456us            39  
                                                                     hipModuleLaunchKernel         0.10%     900.388us         0.10%     900.388us       2.180us     478.729us         0.06%     478.729us       1.159us           413  
                                                                __amd_rocclr_copyBuffer.kd         0.00%       0.000us         0.00%       0.000us       0.000us     460.448us         0.06%     460.448us       2.314us           199  
                                                                               aten::index         0.10%     825.925us         0.14%       1.236ms      10.048us     430.653us         0.06%     430.653us       3.501us           123  
                                                                          _rerank_exact.kd         0.00%       0.000us         0.00%       0.000us       0.000us     376.571us         0.05%     376.571us       9.414us            40  
                                                                               aten::fill_         0.08%     731.870us         0.16%       1.413ms       4.924us     373.971us         0.05%     373.971us       1.303us           287  
                                                                              aten::gather         0.04%     370.402us         0.07%     565.443us       6.896us     235.045us         0.03%     235.045us       2.866us            82  
void at::native::warpMergeSortKVInPlace<2, -1, 128, 16, float, long, at::native::GTOp<f...         0.00%       0.000us         0.00%       0.000us       0.000us     223.328us         0.03%     223.328us       5.726us            39  
void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<a...         0.00%       0.000us         0.00%       0.000us       0.000us     222.206us         0.03%     222.206us       5.698us            39  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 861.402ms
Self CUDA time total: 778.780ms

TOTAL self GPU time across 40 steps: 787.6 ms (19.69 ms/step GPU-busy)
