------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void radiance_mxfp4_fp8_gemm_decode<8, 128, 1, 1, false, true, false>(unsigned char con...         0.00%       0.000us         0.00%       0.000us       0.000us     514.409ms        53.59%     514.409ms     309.140us          1664  
void radiance_mxfp4_fp8_gemm_decode<8, 128, 4, 1, false, true, false>(unsigned char con...         0.00%       0.000us         0.00%       0.000us       0.000us     334.331ms        34.83%     334.331ms      66.960us          4993  
                                                                       _draft_head_int2.kd         0.00%       0.000us         0.00%       0.000us       0.000us      32.184ms         3.35%      32.184ms     618.917us            52  
                                                                     _decode_attn_split.kd         0.00%       0.000us         0.00%       0.000us       0.000us      20.431ms         2.13%      20.431ms      12.271us          1665  
void vllm::dynamic_per_token_scaled_fp8_quant_kernel_strided<c10::BFloat16, c10::Float8...         0.00%       0.000us         0.00%       0.000us       0.000us      20.243ms         2.11%      20.243ms       3.041us          6657  
                                                                    _decode_attn_reduce.kd         0.00%       0.000us         0.00%       0.000us       0.000us       8.968ms         0.93%       8.968ms       5.386us          1665  
                                                                     triton_per_fused_3.kd         0.00%       0.000us         0.00%       0.000us       0.000us       5.014ms         0.52%       5.014ms       3.110us          1612  
                                                         reshape_and_cache_kernel_flash.kd         0.00%       0.000us         0.00%       0.000us       0.000us       4.283ms         0.45%       4.283ms       2.572us          1665  
                                                                                aten::topk         0.04%     476.122us         0.06%     750.301us      12.300us       3.919ms         0.41%       3.919ms      64.247us            61  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_2.kd         0.00%       0.000us         0.00%       0.000us       0.000us       3.717ms         0.39%       3.717ms       2.307us          1611  
void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Te...         0.00%       0.000us         0.00%       0.000us       0.000us       3.625ms         0.38%       3.625ms      68.397us            53  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_0.kd         0.00%       0.000us         0.00%       0.000us       0.000us       3.401ms         0.35%       3.401ms       2.043us          1665  
                                                                    hipPointerGetAttribute         0.06%     706.024us         0.06%     706.024us       0.167us       2.816ms         0.29%       2.816ms       0.666us          4229  
                                         triton_poi_fused_mul_mxfp4_linear_silu_slice_1.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.677ms         0.28%       2.677ms       1.609us          1664  
                                                                               aten::copy_         0.13%       1.628ms         0.24%       2.895ms       4.716us       1.277ms         0.13%       1.277ms       2.079us           614  
                                                                      _penalties_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     638.785us         0.07%     638.785us      12.525us            51  
                                                                __amd_rocclr_copyBuffer.kd         0.00%       0.000us         0.00%       0.000us       0.000us     629.089us         0.07%     629.089us       2.347us           268  
                                                                               aten::index         0.10%       1.244ms         0.24%       2.877ms      15.719us     554.719us         0.06%     554.719us       3.031us           183  
                                                                               aten::fill_         0.09%       1.040ms         0.16%       1.945ms       4.555us     497.212us         0.05%     497.212us       1.164us           427  
                                                                          _rerank_exact.kd         0.00%       0.000us         0.00%       0.000us       0.000us     489.382us         0.05%     489.382us       9.411us            52  
                                                                     hipModuleLaunchKernel         0.11%       1.291ms         0.11%       1.291ms       2.103us     474.926us         0.05%     474.926us       0.773us           614  
                                                                              aten::gather         0.05%     548.728us         0.07%     845.997us       6.934us     314.013us         0.03%     314.013us       2.574us           122  
void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<a...         0.00%       0.000us         0.00%       0.000us       0.000us     301.860us         0.03%     301.860us       5.695us            53  
void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16tofloat32_copy_ke...         0.00%       0.000us         0.00%       0.000us       0.000us     294.693us         0.03%     294.693us       2.780us           106  
void at::native::warpMergeSortKVInPlace<2, -1, 128, 16, float, long, at::native::GTOp<f...         0.00%       0.000us         0.00%       0.000us       0.000us     294.026us         0.03%     294.026us       5.765us            51  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.212s
Self CUDA time total: 959.942ms

TOTAL self GPU time across 60 steps: 971.6 ms (16.19 ms/step GPU-busy)
