------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void h4mv_t<1>(unsigned int const*, unsigned char const*, unsigned int const*, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us     561.865ms        79.03%     561.865ms      72.837us          7714  
                                                                     _decode_attn_split.kd         0.00%       0.000us         0.00%       0.000us       0.000us      68.886ms         9.69%      68.886ms      35.729us          1928  
                                                                       _draft_head_int2.kd         0.00%       0.000us         0.00%       0.000us       0.000us      36.795ms         5.18%      36.795ms     613.246us            60  
                                                                    _decode_attn_reduce.kd         0.00%       0.000us         0.00%       0.000us       0.000us      10.330ms         1.45%      10.330ms       5.355us          1929  
                                                                     triton_per_fused_3.kd         0.00%       0.000us         0.00%       0.000us       0.000us       5.793ms         0.81%       5.793ms       3.101us          1868  
                                                         reshape_and_cache_kernel_flash.kd         0.00%       0.000us         0.00%       0.000us       0.000us       4.881ms         0.69%       4.881ms       2.531us          1929  
                                                                                aten::topk         0.06%     495.504us         0.10%     784.880us      12.867us       4.491ms         0.63%       4.491ms      73.622us            61  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_2.kd         0.00%       0.000us         0.00%       0.000us       0.000us       4.178ms         0.59%       4.178ms       2.236us          1868  
void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Te...         0.00%       0.000us         0.00%       0.000us       0.000us       4.144ms         0.58%       4.144ms      67.934us            61  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_0.kd         0.00%       0.000us         0.00%       0.000us       0.000us       3.843ms         0.54%       3.843ms       1.992us          1929  
                                                                    hipPointerGetAttribute         0.09%     731.096us         0.09%     731.096us       0.173us       3.260ms         0.46%       3.260ms       0.772us          4224  
                                         triton_poi_fused_mul_mxfp4_linear_silu_slice_1.kd         0.00%       0.000us         0.00%       0.000us       0.000us       2.583ms         0.36%       2.583ms       1.339us          1929  
                                                                               aten::copy_         0.21%       1.635ms         0.38%       2.940ms       4.796us       1.467ms         0.21%       1.467ms       2.393us           613  
                                                                      _penalties_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us     739.830us         0.10%     739.830us      12.330us            60  
                                                                __amd_rocclr_copyBuffer.kd         0.00%       0.000us         0.00%       0.000us       0.000us     706.743us         0.10%     706.743us       2.302us           307  
                                                                               aten::index         0.16%       1.221ms         0.24%       1.843ms      10.070us     640.468us         0.09%     640.468us       3.500us           183  
                                                                               aten::fill_         0.14%       1.044ms         0.25%       1.963ms       4.598us     566.504us         0.08%     566.504us       1.327us           427  
                                                                          _rerank_exact.kd         0.00%       0.000us         0.00%       0.000us       0.000us     561.906us         0.08%     561.906us       9.365us            60  
                                                                   hipEventRecordWithFlags         0.06%     500.692us         0.06%     500.692us       1.357us     392.304us         0.06%     392.304us       1.063us           369  
                                                                     hipModuleLaunchKernel         0.17%       1.350ms         0.17%       1.350ms       2.202us     379.568us         0.05%     379.568us       0.619us           613  
                                                                              aten::gather         0.07%     568.138us         0.11%     870.854us       7.138us     358.320us         0.05%     358.320us       2.937us           122  
void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl<a...         0.00%       0.000us         0.00%       0.000us       0.000us     349.301us         0.05%     349.301us       5.726us            61  
void at::native::warpMergeSortKVInPlace<2, -1, 128, 16, float, long, at::native::GTOp<f...         0.00%       0.000us         0.00%       0.000us       0.000us     346.983us         0.05%     346.983us       5.688us            61  
void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16tofloat32_copy_ke...         0.00%       0.000us         0.00%       0.000us       0.000us     346.284us         0.05%     346.284us       2.838us           122  
void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     292.062us         0.04%     292.062us       4.788us            61  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 773.084ms
Self CUDA time total: 710.944ms

TOTAL self GPU time across 60 steps: 724.1 ms (12.07 ms/step GPU-busy)
