# profiled 1 engine step, wall 665.9 ms
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                       vllm::unified_attention_with_output         0.26%       1.732ms         0.31%       2.012ms      62.859us      48.793ms        55.57%      48.793ms       1.525ms            32  
                                                               kernel_unified_attention.kd         0.00%       0.000us         0.00%       0.000us       0.000us      48.793ms        55.57%      48.793ms       1.525ms            32  
                                                                    radiance::mxfp4_linear         0.29%       1.904ms         0.45%       2.989ms      23.348us      34.328ms        39.10%      35.696ms     278.877us           128  
void radiance_mxfp4_fp8_gemm_folded<2, false, true>(unsigned char const*, unsigned char...         0.00%       0.000us         0.00%       0.000us       0.000us      34.328ms        39.10%      34.328ms     268.185us           128  
                                                                    hipPointerGetAttribute         0.03%     227.652us         0.03%     227.652us       0.184us       2.651ms         3.02%       2.651ms       2.145us          1236  
                                                    _C::dynamic_per_token_scaled_fp8_quant         0.04%     293.258us         0.08%     547.380us       4.276us       1.369ms         1.56%       1.369ms      10.692us           128  
void vllm::dynamic_per_token_scaled_fp8_quant_kernel_strided<c10::BFloat16, c10::Float8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.369ms         1.56%       1.369ms      10.692us           128  
                                            triton_poi_fused_mul_mxfp4_linear_silu_slice_1         0.02%     154.582us         0.04%     239.774us       7.493us       1.013ms         1.15%       1.013ms      31.667us            32  
                                         triton_poi_fused_mul_mxfp4_linear_silu_slice_1.kd         0.00%       0.000us         0.00%       0.000us       0.000us       1.013ms         1.15%       1.013ms      31.667us            32  
                                        triton_red_fused_fused_add_rms_norm_mxfp4_linear_2         0.03%     184.415us         0.04%     280.923us       9.062us     617.520us         0.70%     617.520us      19.920us            31  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_2.kd         0.00%       0.000us         0.00%       0.000us       0.000us     617.520us         0.70%     617.520us      19.920us            31  
                                                                       _draft_head_int2.kd         0.00%       0.000us         0.00%       0.000us       0.000us     600.871us         0.68%     600.871us     600.871us             1  
                                                                        triton_per_fused_3         0.03%     202.335us         0.05%     303.587us       9.793us     402.268us         0.46%     402.268us      12.976us            31  
                                                                     triton_per_fused_3.kd         0.00%       0.000us         0.00%       0.000us       0.000us     402.268us         0.46%     402.268us      12.976us            31  
                                                                     hipModuleLaunchKernel         0.06%     420.659us         0.06%     420.659us       2.052us     338.576us         0.39%     338.576us       1.652us           205  
                                        triton_red_fused_fused_add_rms_norm_mxfp4_linear_0         0.03%     201.159us         0.05%     310.454us       9.702us     239.818us         0.27%     239.818us       7.494us            32  
                                     triton_red_fused_fused_add_rms_norm_mxfp4_linear_0.kd         0.00%       0.000us         0.00%       0.000us       0.000us     239.818us         0.27%     239.818us       7.494us            32  
                                                             vllm::unified_kv_cache_update         0.19%       1.276ms         0.24%       1.561ms      48.787us     211.383us         0.24%     211.383us       6.606us            32  
                                                         reshape_and_cache_kernel_flash.kd         0.00%       0.000us         0.00%       0.000us       0.000us     211.383us         0.24%     211.383us       6.606us            32  
                                                                                aten::topk         0.00%      13.698us         0.00%      20.701us      20.701us      73.082us         0.08%      73.082us      73.082us             1  
void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Te...         0.00%       0.000us         0.00%       0.000us       0.000us      67.442us         0.08%      67.442us      67.442us             1  
                                                                               aten::copy_         0.01%      79.374us         0.03%     219.398us      19.945us      27.872us         0.03%      27.872us       2.534us            11  
                                                                      hipDeviceSynchronize        13.59%      89.375ms        13.59%      89.375ms      89.375ms      20.040us         0.02%      20.040us      20.040us             1  
                                                                      hipStreamIsCapturing         0.00%       3.869us         0.00%       3.869us       0.298us      18.760us         0.02%      18.760us       1.443us            13  
                                                     triton_red_fused_fused_add_rms_norm_2         0.00%       4.570us         0.00%       7.965us       7.965us      16.400us         0.02%      16.400us      16.400us             1  
                                                  triton_red_fused_fused_add_rms_norm_2.kd         0.00%       0.000us         0.00%       0.000us       0.000us      16.400us         0.02%      16.400us      16.400us             1  
                                                                __amd_rocclr_copyBuffer.kd         0.00%       0.000us         0.00%       0.000us       0.000us      14.236us         0.02%      14.236us       2.847us             5  
                                                                        triton_per_fused_1         0.00%       9.792us         0.00%      15.420us      15.420us      12.479us         0.01%      12.479us      12.479us             1  
                                                                     triton_per_fused_1.kd         0.00%       0.000us         0.00%       0.000us       0.000us      12.479us         0.01%      12.479us      12.479us             1  
                                                                      _penalties_kernel.kd         0.00%       0.000us         0.00%       0.000us       0.000us      12.160us         0.01%      12.160us      12.160us             1  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 657.510ms
Self CUDA time total: 87.803ms

TOTAL self GPU time: 178.0 ms
